# Pathway	SRR12395643	SRR12395644	SRR12395645	SRR12395646	SRR12395647	SRR12395648	SRR12395649	SRR12395650	SRR12395651	SRR12395652	SRR12395653	SRR12395654	SRR12395655	SRR12395656	SRR12395657	SRR12395658	SRR12395659	SRR12395660	SRR12395661	SRR12395662	SRR12395663	SRR12395664	SRR12395665	SRR12395666	SRR12395667	SRR12395668	SRR12395669	SRR12395670	SRR12395671	SRR12395672	SRR12395673	SRR12395674	SRR12395675	SRR12395676	SRR12395677	SRR12395678	SRR12395679	SRR12395680	SRR12395681	SRR12395682	SRR12395683	SRR12395684	SRR12395685	SRR12395686	SRR12395687	SRR12395688	SRR12395689	SRR12395690	SRR12395691	SRR12395692	SRR12395693	SRR12395694	SRR12395695	SRR12395696	SRR12395697	SRR12395698	SRR12395699	SRR12395700	SRR12395701	SRR12395702	SRR12395703
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	218.105	40.1336	38.1446	36.7567	40.6196	36.3001	101.264	79.731	253.77	101.404	54.6862	49.9775	229.684	183.896	44.0051	91.455	205.697	167.297	27.6594	106.204	88.2868	61.3185	47.5321	27.4139	21.4627	13.4615	259.284	169.471	46.2564	107.175	104.356	47.423	45.3145	149.565	54.3768	52.6024	80.6879	28.9865	79.9535	239.937	58.963	171.208	37.5925	206.69	241.746	331.631	136.989	64.2154	45.8605	56.8058	39.4806	27.2446	60.5597	224.15	29.4126	53.4382	131.237	219.264	104.321	146.768	146.802
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	1.31783	0	0	0.827408	0	8.13685	0.769954	51.1213	0	0	1.21619	0	40.3748	0	23.129	127.942	0	0.938474	0.56663	2.6097	1.76506	0	0	0	0	165.878	64.458	0	0	0	0	0	7.86288	2.98555	8.91254	0.586123	0	0	124.517	0	0	0	27.7166	126.894	111.135	5.556	2.80089	0	1.52963	0	0	0	9.32561	0	0	7.58948	87.4626	30.6938	110.572	94.0705
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	161.024	0	0	274.652	53.4695	124.563	169.214	90.7829	55.4898	118.941	90.1661	88.1322	113.445	176.009	104.501	68.4544	5.90532	94.1456	126.144	114.974	128.877	163.157	219.008	278.417	228.044	351.559	10.0628	59.0332	132.861	149.626	117.687	255.937	364.952	142.14	166.094	203.179	292.295	322.85	114.355	93.3238	223.477	145.964	64.3467	72.4285	79.0538	37.6482	76.52	83.8029	218.46	262.162	247.657	418.612	47.1712	138.622	308.085	115.852	63.1473	161.006	163.597	107.754	244.643
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0	123.338	229.914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGORNPROST-PWY	2.79439	0	0	7.73846	8.21145	5.60848	24.156	1.13353	0	6.08469	2.07418	8.03543	68.842	0	10.6119	17.8815	11.5503	4.2797	0	7.02814	5.46322	5.53863	0	1.24583	3.03447	0	19.9259	4.94086	1.76537	0.699581	9.00333	0	2.67293	0	9.04086	5.09921	2.68781	2.59025	1.31142	0	1.06304	4.0604	0	12.6144	13.4969	0	3.00138	24.2579	0	0	0	0	5.14039	3.09448	2.98296	1.37588	0	1.54656	1.09283	3.75698	36.0773
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0	8.09568	9.98504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	390.233	397.287	280.224	279.281	379.642	399.043	309.383	360.635	266.656	384.77	388.905	238.325	297.02	365.355	335.369	361.859	299.269	265.787	365.486	346.635	280.366	369.153	239.219	235.427	298.623	116.956	293.651	315.298	374.282	319.663	360.097	302.761	189.717	225.676	309.628	253.612	236.532	232.508	293.986	250.483	315.466	218.537	255.318	317.427	283.572	341.229	469.021	312.662	342.442	298.663	336.029	187.266	383.596	254.014	210.793	291.895	403.482	355.01	337.156	220.476	215.176
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	366.915	389.178	255.675	254.111	374.746	383.188	300.048	335.948	282.858	378.994	376.941	212.028	312.517	360.397	329.402	334.591	276.44	280.705	359.618	332.912	268.589	356.507	230.205	216.449	258.337	82.2368	299.512	323.134	355.692	328.084	369.291	300.044	172.268	238.255	291.038	241.513	221.437	228.77	299.724	265.598	299.939	220.697	263.414	340.139	297.053	349.11	462.493	304.585	332.201	294.345	334.315	123.862	370.043	269.666	197.641	262.207	390.241	367.854	318.503	212.574	207.725
ARO-PWY: chorismate biosynthesis I	511.846	481.198	427.051	354.243	448.985	435.738	390.255	398.861	306.045	422.242	423.102	268.548	342.457	473.185	380.322	372.436	278.384	396.157	420.916	369.422	345.399	432.213	361.161	388.072	368.903	239.294	307.245	331.743	412.844	395.186	397.863	453.618	353.742	297.381	392.053	377.507	443.18	438.631	341.005	326.265	436.642	284.632	317.38	356.781	338.419	337.563	472.231	370.241	466.006	404.345	434.141	388.091	422.906	313.197	408.964	373.996	457.288	443.239	417.788	274.078	352.54
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	245.259	244.597	236.255	223.432	166.862	163.15	244.764	160.226	303.626	198.481	184.952	433.152	288.189	304.639	153.513	150.509	234.718	226.032	190.111	165.873	223.596	228.315	304.461	275.535	221.152	225.176	302.841	248.34	238.222	186.769	185.558	299.075	341.701	259.683	216.183	262.691	301.445	361.816	339.746	256.644	227.78	294.08	119.044	251.924	209.305	406.758	139.649	164.007	265.718	192.875	300.522	346.142	284.758	335.997	365.605	230.389	178.391	284.344	222.67	262.091	318.106
AST-PWY: L-arginine degradation II (AST pathway)	0	0.360784	0.660072	0	2.29533	0	6.7226	0	128.401	0	0	0.879259	56.3933	19.2349	0.815745	15.9947	67.7269	20.7737	0	0.458818	0.952489	1.19397	0	0	0	0	157.878	28.5499	0.422419	0	0	0	0	45.4181	0.870323	2.55278	0.438254	0	17.4231	154.832	0	45.7198	0	51.8888	205.739	288.955	5.36821	8.79041	0	3.95075	0	1.95967	0	70.5455	0	0	4.11194	39.9947	10.993	126.916	61.908
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	181.221	98.1446	238.37	59.9497	139.816	38.8275	124.444	116.024	271.123	87.6266	78.0719	42.2249	227.926	202.521	120.748	123.245	178.159	180.375	115.33	66.6359	50.9245	135.554	174.198	185.431	173.944	103.134	273.291	144.158	50.4482	87.1602	70.5827	109.036	13.6548	241.894	79.0512	86.8718	145.31	119.884	388.227	330.766	124.982	263.378	55.594	220.331	290.889	376.155	85.1232	123.283	211.693	144.165	82.1597	202.599	14.1005	275.754	97.2492	84.7081	92.1005	241.15	180.536	205.462	338.336
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0	495.634	394.946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	434.998	0	0	405.989	397.269	443.056	421.434	360.373	412.861	411.392	413.944	594.134	404.625	417.237	321.145	334.76	315.589	337.875	398.827	343.646	351.112	411.736	342.734	357.78	350.581	402.315	356.779	415.592	423.61	372.835	344.253	462.58	446.735	349.808	369.68	415.788	437.503	452.234	237.321	350.166	423.783	400.455	377.677	406.534	275.271	584.267	385.307	335.734	420.064	405.721	484.233	410.932	491.192	428.786	471.988	375.085	464.664	413.014	403.923	273.838	400.168
CALVIN-PWY: Calvin-Benson-Bassham cycle	395.947	450.331	357.439	332.795	442.716	367.415	371.205	330.225	339.485	402.952	383.626	367.243	333.889	482.149	296.413	333.031	359.815	406.176	334.496	322.815	291.108	371.847	327.484	305.55	271.335	206.717	364.83	324.314	339.526	325.155	324.495	420.568	283.148	311.683	303.74	337.167	366.55	382.221	335.34	302.988	366.958	315.521	301.242	362.826	276.397	410.796	442.602	341.861	415.452	299.55	344.258	254.908	394.869	336.45	323.041	337.509	444.018	464.536	345.738	348.816	328.532
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0.329643	0.310255	0.592148	0	0.565347	0	0	0.638275	7.10917	0	0.781824	0	0.313292	0	0	10.098	0	0	3.07853	0.244714	0.869583	0	0	0	0	0	2.85175	0	0.629924	0	0	0	0	0	0	0	0.483673	0	5.28781	103.29	0	0	0	6.22606	151.749	41.0343	0	0.697163	0	4.15217	0	0	0	0	0	0	1.25576	0	0	43.8322	15.3557
CENTFERM-PWY: pyruvate fermentation to butanoate	17.2261	30.1688	19.129	23.7981	27.3033	58.4176	27.6565	32.5175	3.46312	41.0259	42.6644	22.5078	41.539	29.235	38.0353	50.9815	26.3389	22.1045	22.5851	15.9685	17.7878	22.6269	33.0014	9.59037	13.5225	8.77776	8.59798	18.1809	24.2392	42.8141	13.8226	16.6726	7.56813	16.1867	25.4202	18.8084	10.0203	19.0204	11.1325	6.92587	28.4927	6.43176	0	14.7301	6.43786	0	44.5573	37.1195	23.0254	19.8193	21.7963	17.5107	35.4367	15.1816	20.0477	22.7565	7.1093	19.9993	35.433	17.5896	3.5611
CITRULBIO-PWY: L-citrulline biosynthesis	273.671	188.264	298.703	170.133	165.686	153.032	167.76	186.038	38.2144	54.3683	143.537	94.2374	21.2462	185.269	97.707	200.282	28.1161	104.32	230.827	119.57	136.478	158.796	221.595	225.934	217.679	97.4908	9.5213	77.8955	175.845	158.674	129.933	138.382	132.759	72.0502	109.453	153.497	155.277	192.405	53.4945	97.2436	231.594	172.862	0	39.6121	75.7333	0.489067	112.657	136.224	279.135	253.217	265.717	235.165	76.9081	103.145	274.28	123.476	131.808	146.624	79.0375	93.6063	214.607
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0	539.124	478.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	494.928	0	0	452.61	470.378	430.601	408.648	370.369	245.947	386.159	424.339	438.554	300.052	419.368	364.433	383.484	228.356	379.142	471.622	336.653	385.436	446.015	401.898	432.381	411.855	402.426	239.683	326.63	517.924	406.935	430.58	475.815	481.869	312.134	416.464	422.586	476.989	512.734	374.371	259.796	476.394	282.947	350.145	332.677	253.082	229.37	458.454	377.307	471.193	439.326	533.064	528.691	446.068	276.295	525.495	423.179	425.346	390.219	430.891	197.928	395.607
COA-PWY: coenzyme A biosynthesis I	0	485.034	456.532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	387.062	0	0	424.667	426.924	395.528	355.511	325.256	239.585	344.961	380.834	260.529	283.084	394.183	324.06	333.039	227.049	386.687	393.853	299.932	293.153	406.234	373.234	406.129	368.179	380.885	234.369	311.846	429.16	323.044	332.113	433.407	431.495	294.45	373.241	409.894	442.473	468.3	356.651	255.463	434.177	280.689	335.308	310.575	232.583	232.033	421.248	317.658	427.697	410.35	479.654	526.774	360.835	265.689	479.052	399.596	361.77	374.584	386.425	168.654	357.789
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0	208.151	112.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	169.357	0	0	135.634	186.053	132.368	187.287	190.838	288.566	188.614	191.594	75.5145	172.259	241.999	153.31	140.494	142.164	273.175	146.281	147.482	97.0051	165.706	170.929	171.166	175.558	193.219	193.049	116.612	177.244	121.21	129.832	183.068	234.959	178.035	177.195	149.038	135.636	216.145	247.833	233.49	166.492	182.641	128.93	196.035	203.491	433.596	150.747	133.213	179.057	172.388	146.006	197.241	118.029	253.977	131.487	123.615	207.762	222.53	162.17	153.165	120.584
COLANSYN-PWY: colanic acid building blocks biosynthesis	208.034	113.754	141.764	106.638	113.255	80.8297	119.867	125.308	230.381	136.928	99.5556	72.3265	180.567	162.174	91.3716	89.5247	162.762	106.41	140.489	139.262	103.308	134.461	88.1053	102.926	87.7263	65.6247	230.707	134.483	126.253	134.518	143.825	113.447	93.6178	153.843	114.791	95.0941	124.022	90.3624	140.161	158.253	78.3129	176.327	42.4993	187.069	132.527	277.447	120.038	110.262	108.978	114.051	97.0171	63.6259	84.3335	209.172	76.6046	71.9293	119.338	118.6	159.75	132.976	175.586
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	443.36	448.608	409.143	345.95	422.256	409.435	368.869	364.459	314.406	402.989	392.464	284.59	347.237	442.736	351.542	326.884	282.638	379.429	392.626	330.945	318.637	417.821	352.535	387.697	362.138	250.262	320.87	317.225	401.642	364.598	355.081	449.412	362.088	285.999	365.813	366.964	436.184	432.934	362.112	345.077	415.952	284.425	304.643	342.32	356.014	360.382	431.172	339.835	455.416	398.924	434.212	399.89	413.707	320.654	399.358	341.782	427.627	420.063	388.418	270.077	344.111
CRNFORCAT-PWY: creatinine degradation I	0	0	0	0.966388	0	0	0	0	0.891888	0	0	0	0.55577	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19948	0	0	0	0	0	0	0.581315	1.665	0	0.733405	0	40.5312	7.07519	0	0	0	0	0	26.4885	0	0	0	0	0	0.906023	0	0	0	0	0	0	0	32.2632	1.40326
DAPLYSINESYN-PWY: L-lysine biosynthesis I	22.0993	36.5077	100.849	53.4293	64.2867	69.9254	102.941	18.1303	249.483	69.8304	66.566	14.025	201.743	181.208	66.8167	69.8509	207.224	133.155	135.486	32.4442	18.6293	54.423	41.5294	23.6956	12.2346	9.41564	254.384	165.607	19.6795	22.9682	95.0562	32.1562	26.1129	167.428	27.5071	42.9995	65.9923	55.0625	311.766	239.788	32.1989	206.901	169.43	198.02	234.104	325.228	50.5451	70.7018	157.552	40.3758	60.5078	87.0566	56.0879	230.651	23.4606	51.8718	119.135	182.706	82.2221	170.208	219.367
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	3.91547	0	0	0	0	0	0	0	0	0.177226	0	2.40851	0	0	0	0.56599	0.494536	0	0	0.145236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.548	0	0	0	6.71178	98.7435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.17328
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	2.53143	267.448	367.007	4.18763	22.9108	0	14.8981	7.29241	182.959	0	3.89521	18.3243	128.471	55.307	7.14196	60.4745	24.9469	20.8805	0	7.30609	0	0	0	0	4.77754	0	204.672	75.0575	11.1307	0	0	0	0	159.83	11.6211	0	5.24678	0	0	139.604	0	145.758	0	111.955	185.51	216.273	4.3891	45.6835	0	34.7885	0	11.5631	0	162.212	4.32253	0	36.737	13.4856	5.98587	97.6363	16.0746
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74105
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	618.257	0	0	518.145	510.059	510.919	533.752	561.215	173.269	471.196	509.081	755.457	355.561	537.748	430.004	531.849	246.464	468.052	473.701	458.434	448.703	490.098	466.919	617.746	667.524	820.546	205.557	411.239	525.614	420.143	394.022	552.978	636.67	313.914	485.492	604.249	616.405	661.275	367.246	381.228	572.282	413.389	373.431	231.349	367.737	326.618	481.792	390.509	537.291	508.362	500.036	659.908	635.125	411.834	597.62	514.726	522.293	452.142	488.046	263.437	364.895
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0	671.068	652.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	0.959834	0	3.87638	1.6101	5.86052	0	27.3917	0	0.472024	0.98885	10.1642	15.014	1.27015	16.2463	32.6004	12.1329	0	0	0	1.43874	0	0	0.869606	0	88.0575	10.1925	0	0	0	0	0	2.69847	3.8767	3.55476	0.469082	0	193.573	20.9985	0	11.4958	0	18.4163	66.4546	42.7598	2.73254	8.28923	0	8.80763	0	6.02995	0	7.52233	0	0	8.89252	20.5168	6.92528	53.1866	28.6959
ENTBACSYN-PWY: enterobactin biosynthesis	0	0	14.5022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I	0	6.64149	18.2446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	1.63928	0	0	0	7.1957	2.06916	18.6058	2.86452	274.836	0	0	2.50269	142.45	67.3551	4.05068	32.6296	154.954	57.7893	0	2.56827	5.77033	3.46318	0	0	2.13527	0	311.049	103.247	2.36221	0	1.72417	0	0	114.051	6.22002	3.16834	3.47907	0.970641	369.117	332.108	0	150.38	0	150.342	285.589	460.907	13.9266	21.1143	0	12.5311	0.975834	21.3699	1.63086	200.368	2.60782	0	12.8672	62.0288	20.5089	90.9216	125.723
FASYN-ELONG-PWY: fatty acid elongation -- saturated	205.842	98.0846	270.845	45.8213	167.564	36.7621	125.955	129.505	380.948	87.2583	77.5893	42.3868	289.583	224.793	145.815	174.25	246.018	235.762	126.281	66.5231	48.0105	148.346	180.303	191.678	188.276	92.7481	345.279	197.56	47.2977	89.7828	71.0923	100.839	11.7819	282.138	75.3289	81.3509	140.022	111.498	490.036	510.458	123.281	340.442	63.7245	288.352	436.244	547.227	93.9983	141.228	236.518	142.696	76.0136	185.345	12.7991	376.588	89.2392	92.3166	99.3472	264.022	196.279	274.983	390.387
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	462.1	69.7866	227.742	411.972	351.293	338.218	376.613	335.582	369.363	412.962	378.265	252.319	343.393	452.816	266.017	306.425	223.98	306.038	355.14	310.913	293.207	399.512	482.337	517.575	397.081	479.428	352.849	295.735	406.97	360.426	329.704	422.376	456.934	334.768	354.834	412.779	404.931	469.295	365.409	428.442	412.011	362.882	164.995	281.184	320.995	402.003	350.541	274.611	462.002	485.071	343.429	578.818	238.053	369.551	455.394	361.865	375.851	431.889	414.954	231.542	313.928
FERMENTATION-PWY: mixed acid fermentation	20.9844	30.3789	52.7119	50.7016	33.9293	52.6295	81.7337	32.6973	311.091	22.4576	56.3849	25.8693	204.42	169.838	59.2051	63.6234	197.405	116.881	82.7417	7.51763	26.9224	31.4509	22.4493	6.07929	10.7926	3.44608	288.547	146.561	30.5106	6.17255	68.6706	6.08875	33.0934	136.739	34.419	25.821	53.3479	9.69337	259.339	208.529	31.7392	169.769	0	168.386	200.407	476.962	23.4534	49.7868	69.6408	23.2527	53.1325	21.4081	62.9865	221.18	19.8675	20.3299	87.4725	154.753	100.423	187.832	122.756
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	9.99956	16.4375	53.9429	30.566	39.2408	0	11.7729	9.01154	134.733	49.957	28.5566	18.9823	65.5686	91.2254	32.6245	26.7852	126.517	34.4935	22.8826	13.1304	21.408	18.369	8.86999	3.34772	1.81472	0	127.541	36.3344	28.0815	8.04146	19.7539	6.20799	43.3337	65.5497	27.2703	52.5495	15.3879	10.9398	5.24196	68.4695	8.02635	44.3036	0	50.5699	11.5398	166.098	15.2874	25.4829	9.58033	26.6676	5.18288	4.46545	17.9132	73.4487	2.3338	6.04848	10.4127	149.276	35.8962	7.48227	67.0613
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	114.112	7.25992	73.1418	41.0433	55.3132	53.6015	78.2078	43.9577	178.87	57.1908	40.2197	41.8822	154.254	119.863	18.9565	62.6393	119.994	100.861	26.9668	48.7896	40.2573	29.4991	77.2402	30.0539	32.0347	9.75752	195.281	96.2994	39.5676	91.7666	72.8657	31.2172	43.6734	103.389	41.9776	76.3595	57.6107	51.3801	13.3755	103.525	25.8402	147.249	0	111.393	99.6742	276.199	29.4612	49.6598	59.9185	51.2822	27.9368	27.543	14.9649	172.526	21.6669	29.3267	62.4026	119.609	86.0967	131.648	101.939
FUCCAT-PWY: fucose degradation	122.373	37.1537	42.1618	21.6056	49.8731	31.4393	50.4818	24.223	162.959	106.355	21.9734	24.2532	161.224	80.7684	9.23335	40.5236	136.011	75.4857	13.7383	46.4616	23.8851	14.5241	44.3661	14.4073	16.188	4.42302	183.022	63.5805	20.92	64.768	48.7181	16.133	23.769	83.8052	24.8595	45.8118	32.9668	28.4745	6.59046	93.3281	12.9496	132.49	0	119.202	107.957	265.787	43.7165	42.3738	32.2356	28.7531	14.7967	13.2048	8.83586	164.476	10.3762	15.2976	64.3553	83.3139	53.0304	129.628	83.0518
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	74.1675	87.6901	56.5695	77.3919	21.9349	86.646	85.0048	89.5	172.052	37.1259	93.8983	41.6129	129.609	119.848	83.654	63.2908	136.714	95.025	82.2115	84.7919	34.5321	78.4547	52.6706	55.9884	114.924	43.9022	188.421	130.075	81.747	59.5638	80.41	57.5666	28.9621	102.49	109.282	28.8765	42.3733	70.856	56.0365	130.647	66.6482	105.571	29.8115	100.866	48.679	218.603	70.4495	59.9367	68.1334	15.6138	65.5887	53.5874	73.5344	151.583	66.411	42.164	67.3041	126.49	100.504	39.1816	146.661
